incident_id,first_seen,last_seen,src_ip,dst_ip,asset_name,attack_type,alert_count,rule_ids,max_risk_score,risk_level,evidence_summary,disposition,recommendation
INC-000001,2026-06-15 12:00:00,2026-06-15 12:09:54,185.199.110.14,192.168.10.10,Web-Server-01,Automated Scanner,34,UA-001,100,严重,字段 user_agent 命中关键字 'sqlmap'；请求状态码=200.0；User-Agent=sqlmap/1.7.9#stable | 字段 user_agent 命中关键字 'nikto'；请求状态码=403.0；User-Agent=Nikto/2.5.0 | 字段 user_agent 命中关键字 'dirbuster'；请求状态码=500.0；User-Agent=dirbuster/1.0,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000002,2026-06-15 12:01:12,2026-06-15 12:08:42,185.199.110.14,192.168.10.10,Web-Server-01,SQL Injection Probe,6,WEB-001,100,严重,字段 request_uri 命中关键字 'information_schema'；请求状态码=403.0；User-Agent=curl/8.6.0 | 字段 request_uri 命中关键字 'information_schema'；请求状态码=200.0；User-Agent=curl/8.6.0 | 字段 request_uri 命中关键字 'information_schema'；请求状态码=500.0；User-Agent=curl/8.6.0,疑似 SQL 注入探测，需检查数据库错误日志和参数过滤。,检查参数过滤、数据库错误回显和 WAF 拦截策略，必要时封禁源 IP。
INC-000003,2026-06-15 12:10:12,2026-06-15 12:10:30,185.199.110.14,192.168.10.10,Web-Server-01,Automated Scanner,2,UA-001,100,严重,字段 user_agent 命中关键字 'curl'；请求状态码=403.0；User-Agent=curl/8.6.0 | 字段 user_agent 命中关键字 'sqlmap'；请求状态码=500.0；User-Agent=sqlmap/1.7.9#stable,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000004,2026-06-15 14:20:00,2026-06-15 14:26:31,91.198.174.88,192.168.10.40,OA-System-01,File Upload Probe,24,WEB-004,100,严重,字段 request_uri 命中关键字 'shell.php'；请求状态码=403.0；User-Agent=sqlmap/1.7.9#stable | 字段 request_uri 命中关键字 'test.jsp'；请求状态码=404.0；User-Agent=Nikto/2.5.0 | 字段 request_uri 命中关键字 'upload.php'；请求状态码=500.0；User-Agent=dirbuster/1.0,疑似文件上传攻击探测，需检查上传目录和 WebShell 风险。,检查上传目录权限、文件类型校验和 WebShell 风险。
INC-000005,2026-06-15 10:40:00,2026-06-15 10:47:15,77.88.121.4,192.168.10.10,Web-Server-01,Sensitive File Scan,30,WEB-003,90,严重,字段 request_uri 命中关键字 '.env'；请求状态码=404.0；User-Agent=sqlmap/1.7.9#stable | 字段 request_uri 命中关键字 '.git'；请求状态码=404.0；User-Agent=Nikto/2.5.0 | 字段 request_uri 命中关键字 'backup.zip'；请求状态码=403.0；User-Agent=dirbuster/1.0,疑似敏感文件探测，需检查 Web 根目录是否存在敏感文件。,检查敏感文件是否暴露，确认 Web 根目录权限。
INC-000006,2026-06-15 14:20:00,2026-06-15 14:26:31,91.198.174.88,192.168.10.40,OA-System-01,Automated Scanner,24,UA-001,90,严重,字段 user_agent 命中关键字 'sqlmap'；请求状态码=403.0；User-Agent=sqlmap/1.7.9#stable | 字段 user_agent 命中关键字 'nikto'；请求状态码=404.0；User-Agent=Nikto/2.5.0 | 字段 user_agent 命中关键字 'dirbuster'；请求状态码=500.0；User-Agent=dirbuster/1.0,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000007,2026-06-15 15:07:18,2026-06-15 15:09:42,45.77.200.10,192.168.10.10,Web-Server-01,Directory Brute Force,22,WEB-005,90,严重,同一源 IP 在 5 分钟内产生 404 次数=20；URI=/api/debug | 同一源 IP 在 5 分钟内产生 404 次数=21；URI=/admin | 同一源 IP 在 5 分钟内产生 404 次数=22；URI=/test,疑似目录扫描，需检查敏感路径暴露情况。,检查是否存在敏感目录暴露，限制高频访问源 IP。
INC-000008,2026-06-15 16:30:24,2026-06-15 16:34:24,66.249.66.1,192.168.10.10,Web-Server-01,Sensitive File Scan,5,WEB-003,90,严重,字段 request_uri 命中关键字 '.git'；请求状态码=403.0；User-Agent=dirbuster/1.0 | 字段 request_uri 命中关键字 '.git'；请求状态码=404.0；User-Agent=dirbuster/1.0 | 字段 request_uri 命中关键字 '.git'；请求状态码=200.0；User-Agent=dirbuster/1.0,疑似敏感文件探测，需检查 Web 根目录是否存在敏感文件。,检查敏感文件是否暴露，确认 Web 根目录权限。
INC-000009,2026-06-15 10:40:00,2026-06-15 10:47:15,77.88.121.4,192.168.10.10,Web-Server-01,Automated Scanner,30,UA-001,85,严重,字段 user_agent 命中关键字 'sqlmap'；请求状态码=404.0；User-Agent=sqlmap/1.7.9#stable | 字段 user_agent 命中关键字 'nikto'；请求状态码=404.0；User-Agent=Nikto/2.5.0 | 字段 user_agent 命中关键字 'dirbuster'；请求状态码=403.0；User-Agent=dirbuster/1.0,疑似自动化扫描行为，需结合访问频率和命中路径进一步确认。,结合访问频率判断是否为自动化扫描，必要时临时封禁。
INC-000010,2026-06-15 11:11:12,2026-06-15 11:14:40,198.51.100.77,192.168.10.20,Login-Server-01,Brute Force Login,27,AUTH-001,85,严重,同一源 IP 在 5 分钟内失败登录次数=10；用户名=admin | 同一源 IP 在 5 分钟内失败登录次数=11；用户名=root | 同一源 IP 在 5 分钟内失败登录次数=12；用户名=test,疑似弱口令爆破，需检查账号登录失败记录和异常源 IP。,封禁源 IP，锁定异常账号，开启验证码、MFA 或登录限速。
